"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-28","13.87",,"0.23",,"0.0","0.0","77","84","69",,"  250","  250",,"25.9","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-29","7.38",,"0.00",,"0.0","0.0","71","76","64",,"  320","  320",,"15.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-30","6.04",,"0.00",,"0.0","0.0","71","80","62",,"  240","  220",,"15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-31","8.50",,"0.00",,"0.0","0.0","75","86","65",,"  250","  210",,"19.9","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-01","5.59",,"0.19",,"0.0","0.0","75","83","70",,"  170","  160",,"17.0","23.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-02","8.28",,"0.36",,"0.0","0.0","72","77","68",,"   40","   60",,"18.1","23.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-03","5.59",,"0.23",,"0.0","0.0","71","77","67",,"   80","  340",,"12.1","19.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-04","5.59",,"0.00",,"0.0","0.0","76","84","71",,"  220","  320",,"10.1","18.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-05","4.92",,"0.00",,"0.0","0.0","79","90","69",,"  180","  230",,"13.0","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-06","8.28",,"0.00",,"0.0","0.0","76","82","69",,"  340","  330",,"13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-07","8.28",,"0.00",,"0.0","0.0","76","84","66",,"  310","  330",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-08","8.05",,"0.00",,"0.0","0.0","74","82","63",,"  290","  270",,"14.1","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-09","5.37",,"0.00",,"0.0","0.0","76","86","67",,"  100","  340",,"10.1","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-10","4.92",,"0.00",,"0.0","0.0","77","88","67",,"  180","  210",,"12.1","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-11","5.82",,"0.00",,"0.0","0.0","77","85","66",,"  190","  190",,"15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-12","11.18",,"1.08",,"0.0","0.0","73","79","68",,"  120","  120",,"25.1","32.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-13","11.18",,"0.00",,"0.0","0.0","75","85","69",,"  280","  260",,"23.9","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-14","9.17",,"0.25",,"0.0","0.0","72","80","62",,"  340","  330",,"25.9","33.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-15","8.95",,"0.00",,"0.0","0.0","69","77","60",,"  300","  310",,"19.9","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-16","5.82",,"0.00",,"0.0","0.0","72","81","61",,"  230","  230",,"17.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-17","8.28",,"0.00",,"0.0","0.0","73","84","65",,"  310","  290",,"17.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-18","6.26",,"0.00",,"0.0","0.0","74","83","63",,"  290","  310",,"13.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-19","4.92",,"0.00",,"0.0","0.0","76","87","66",,"   80","   30",,"12.1","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-20","4.70",,"0.00",,"0.0","0.0","77","86","71",,"  180","  190",,"14.1","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-08-21","5.37",,"0.00",,"0.0","0.0","76","83","68",,"  150","  150",,"14.1","19.0",,,,,,,,
